input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,"output_item_num_reviews
"
Toys,Hobbies,10,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,10,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,10,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,10,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,10,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,10,b'Toyrific Hydro Pump Action Water Gun',1
Toys,Hobbies,10,b'Preiser 10552 Hunters',1
Toys,Hobbies,10,b'Preiser 10552 Hunters',1
Toys,Hobbies,10,b'Preiser 10552 Hunters',1
Toys,Hobbies,10,b'Preiser 10552 Hunters',1
Toys,Hobbies,10,b'Preiser 10552 Hunters',1
Toys,Hobbies,10,b'Preiser 10552 Hunters',1
Toys,Hobbies,10,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,10,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,10,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,10,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,10,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,10,b'WLToys V912 Helicopter Replacement Crash Parts Set Main Blades Propellers Balance Bar Connect Buckles Head Cover',4
Toys,Hobbies,10,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,10,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,10,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,10,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,10,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,10,b'DX6i 6CH DSMX Radio System with AR610 Receiver',1
Toys,Hobbies,10,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,10,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,10,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,10,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,10,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,10,b'Brushless Motor+ESC+Propeller Power Kit for 300-800g RC Model Airplanes - Longer Flight Time Setup for 2S Lipo Batteries',1
Toys,Hobbies,10,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,10,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,10,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,10,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,10,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,10,b'BuitenSpeel Floor Darts',2
Toys,Hobbies,10,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,10,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,10,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,10,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,10,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,10,b'Jagdpanzer IV L/70 Lang - 1:35 Scale Military - Tamiya',1
Toys,Hobbies,10,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,10,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,10,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,10,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,10,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,10,"b'Brand New Upgrade LED Voltage / Time Parallel Multi 3 Batteries Charger Board Charging Plate for DJI Inspire 1 Quadcopter TB47 4500mAh, TB48 5700mAh Battery'",1
Toys,Hobbies,10,b'HQ Limbo Sport Kite (Red)',2
Toys,Hobbies,10,b'HQ Limbo Sport Kite (Red)',2
Toys,Hobbies,10,b'HQ Limbo Sport Kite (Red)',2
Toys,Hobbies,10,b'HQ Limbo Sport Kite (Red)',2
Toys,Hobbies,10,b'HQ Limbo Sport Kite (Red)',2
Toys,Hobbies,10,b'HQ Limbo Sport Kite (Red)',2
Toys,Hobbies,10,"b""Yu-Gi-Oh Cards 5D's - Stardust Overdrive - Booster Pack [Toy]""",1
Toys,Hobbies,10,"b""Yu-Gi-Oh Cards 5D's - Stardust Overdrive - Booster Pack [Toy]""",1
Toys,Hobbies,10,"b""Yu-Gi-Oh Cards 5D's - Stardust Overdrive - Booster Pack [Toy]""",1
Toys,Hobbies,10,"b""Yu-Gi-Oh Cards 5D's - Stardust Overdrive - Booster Pack [Toy]""",1
Toys,Hobbies,10,"b""Yu-Gi-Oh Cards 5D's - Stardust Overdrive - Booster Pack [Toy]""",1
Toys,Hobbies,10,"b""Yu-Gi-Oh Cards 5D's - Stardust Overdrive - Booster Pack [Toy]""",1
